recordtime	accelerationX	accelerationY	accelerationZ
145	-0.03500366	-0.0177002	-1.007904
146	-0.03379822	-0.01828003	-1.00853
147	-0.03291321	-0.01809692	-1.006744
148	-0.0322876	-0.01808167	-1.007935
149	-0.03518677	-0.01777649	-1.006805
150	-0.03567505	-0.0194397	-1.006287
151	-0.03393555	-0.01847839	-1.008514
152	-0.03489685	-0.01753235	-1.008423
153	-0.03451538	-0.01864624	-1.009003
154	-0.03387451	-0.01754761	-1.006012
155	-0.03425598	-0.01780701	-1.007553
156	-0.03359985	-0.01902771	-1.007706
157	-0.0337677	-0.01754761	-1.00914
158	-0.03356934	-0.01937866	-1.006943
159	-0.03291321	-0.0177002	-1.010712
160	-0.03352356	-0.01724243	-1.010193
161	-0.03453064	-0.01817322	-1.007202
162	-0.03567505	-0.01831055	-1.007965
163	-0.03581238	-0.01766968	-1.009308
164	-0.03192139	-0.01730347	-1.008652
165	-0.0322113	-0.01750183	-1.008286
166	-0.03559875	-0.0164032	-1.007294
167	-0.03356934	-0.01838684	-1.010483
168	-0.03416443	-0.01863098	-1.016006
169	-0.0342865	-0.01805115	-1.012222
170	-0.03489685	-0.01725769	-1.011902
171	-0.03352356	-0.01956177	-1.008545
172	-0.03422546	-0.01708984	-1.009171
173	-0.03172302	-0.0181427	-1.009415
174	-0.03382874	-0.01863098	-1.009232
175	-0.03289795	-0.01737976	-1.009354
176	-0.03504944	-0.01771545	-1.006226
177	-0.03373718	-0.01765442	-1.009903
178	-0.03503418	-0.01765442	-1.009583
179	-0.03495789	-0.01786804	-1.008179
180	-0.0324707	-0.01695251	-1.007996
181	-0.034729	-0.01805115	-1.007935
182	-0.03256226	-0.01730347	-1.009277
183	-0.03385925	-0.01856995	-1.008484
184	-0.03477478	-0.0177002	-1.00885
185	-0.0337677	-0.01745605	-1.008682
186	-0.03517151	-0.01776123	-1.008362
187	-0.03411865	-0.01815796	-1.007477
188	-0.03244019	-0.01863098	-1.007141
189	-0.03044128	-0.0184021	-1.009705
190	-0.03381348	-0.01879883	-1.008423
191	-0.03514099	-0.01843262	-1.009842
192	-0.0344696	-0.01605225	-1.008255
193	-0.03390503	-0.01882935	-1.006653
194	-0.03305054	-0.01872253	-1.007874
195	-0.0333252	-0.01635742	-1.007034
196	-0.03372192	-0.01818848	-1.008224
197	-0.03363037	-0.0196228	-1.007935
198	-0.03503418	-0.01689148	-1.007263
199	-0.03335571	-0.01716614	-1.007706
200	-0.03388977	-0.0199585	-1.006836
201	-0.0328064	-0.01957703	-1.006363
202	-0.03240967	-0.02023315	-1.007736
203	-0.03527832	-0.01835632	-1.007996
204	-0.03442383	-0.01705933	-1.008286
205	-0.03276062	-0.01828003	-1.008057
206	-0.03118896	-0.01785278	-1.009415
207	-0.03245544	-0.01907349	-1.007904
208	-0.03390503	-0.01651001	-1.008881
209	-0.03320312	-0.01780701	-1.007874
210	-0.03337097	-0.01976013	-1.007141
211	-0.03520203	-0.01789856	-1.007202
212	-0.03457642	-0.01754761	-1.007706
213	-0.0322876	-0.01728821	-1.006699
214	-0.03334045	-0.01687622	-1.005798
215	-0.03372192	-0.01853943	-1.006729
216	-0.03469849	-0.0186615	-1.007614
217	-0.0337677	-0.01820374	-1.006973
218	-0.03373718	-0.01782227	-1.006271
219	-0.03297424	-0.01823425	-1.00676
220	-0.03266907	-0.01927185	-1.009415
221	-0.03285217	-0.01858521	-1.008438
222	-0.03346252	-0.01876831	-1.007172
223	-0.03314209	-0.01916504	-1.006699
224	-0.03509521	-0.01875305	-1.008621
225	-0.03552246	-0.01792908	-1.006531
226	-0.03520203	-0.01853943	-1.007965
227	-0.03266907	-0.01805115	-1.011139
228	-0.03468323	-0.01934814	-1.014252
229	-0.03245544	-0.01800537	-1.014526
230	-0.03382874	-0.01928711	-1.012787
231	-0.03373718	-0.01675415	-1.012711
232	-0.03388977	-0.01754761	-1.012131
233	-0.03392029	-0.0171814	-1.010361
234	-0.03440857	-0.01794434	-1.009659
235	-0.03343201	-0.01809692	-1.008453
236	-0.0332489	-0.0171814	-1.00853
237	-0.03488159	-0.01863098	-1.008011
238	-0.0337677	-0.0201416	-1.007751
239	-0.03459167	-0.01861572	-1.008377
240	-0.03393555	-0.0196991	-1.008698
241	-0.03327942	-0.01783752	-1.00676
242	-0.03279114	-0.01852417	-1.011047
243	-0.03344727	-0.01921082	-1.013474
244	-0.0344696	-0.01823425	-1.014206
245	-0.03340149	-0.0165863	-1.013687
246	-0.03375244	-0.01756287	-1.014481
247	-0.0328064	-0.01933289	-1.013199
248	-0.03416443	-0.01766968	-1.010513
249	-0.03268433	-0.01777649	-1.010727
250	-0.03192139	-0.01835632	-1.008606
251	-0.03207397	-0.01719666	-1.00798
252	-0.03269958	-0.01820374	-1.007278
253	-0.0328064	-0.01783752	-1.007599
254	-0.03489685	-0.01800537	-1.005875
255	-0.03463745	-0.01875305	-1.008392
256	-0.03523254	-0.01695251	-1.00798
257	-0.0332489	-0.01791382	-1.00882
258	-0.03257751	-0.01742554	-1.008347
259	-0.03292847	-0.0202179	-1.009125
260	-0.0328064	-0.01832581	-1.007523
261	-0.03456116	-0.01626587	-1.007843
262	-0.03601074	-0.01832581	-1.007614
263	-0.03364563	-0.01799011	-1.008926
264	-0.0328064	-0.02030945	-1.008942
265	-0.03424072	-0.01959229	-1.007004
266	-0.03425598	-0.01808167	-1.008591
267	-0.03240967	-0.01768494	-1.00708
268	-0.03340149	-0.01991272	-1.006073
269	-0.0352478	-0.01766968	-1.005692
270	-0.03323364	-0.01940918	-1.008759
271	-0.03369141	-0.02056885	-1.006882
272	-0.03198242	-0.01852417	-1.006683
273	-0.03250122	-0.01957703	-1.007675
274	-0.03364563	-0.01948547	-1.008759
275	-0.03317261	-0.01763916	-1.009003
276	-0.03474426	-0.01849365	-1.006531
277	-0.03396606	-0.01731873	-1.008926
278	-0.03573608	-0.01982117	-1.007843
279	-0.03289795	-0.01850891	-1.008408
280	-0.03384399	-0.01878357	-1.006332
281	-0.03378296	-0.016922	-1.009521
282	-0.032547	-0.01983643	-1.009903
283	-0.03462219	-0.01782227	-1.009796
284	-0.03309631	-0.01867676	-1.008606
285	-0.03196716	-0.01924133	-1.005341
286	-0.03199768	-0.01765442	-1.006226
287	-0.03434753	-0.0174408	-1.011642
288	-0.0355072	-0.01838684	-1.014404
289	-0.03320312	-0.01913452	-1.016571
290	-0.03372192	-0.0177002	-1.013687
291	-0.03433228	-0.01829529	-1.012344
292	-0.03370667	-0.0189209	-1.010696
293	-0.03219604	-0.01757812	-1.010712
294	-0.03089905	-0.01586914	-1.009842
295	-0.03509521	-0.0178833	-1.009644
296	-0.03468323	-0.01890564	-1.008148
297	-0.03245544	-0.01733398	-1.008499
298	-0.03500366	-0.01818848	-1.007782
299	-0.03437805	-0.01768494	-1.009552
300	-0.03453064	-0.01864624	-1.007996
301	-0.03417969	-0.01899719	-1.009048
